order_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,status,order_date
ORD-006501,2,9,Denim Jeans,Clothing,3,59.99,179.97,refunded,2026-08-04T18:48:53+00:00
ORD-006502,2,1,Wireless Mouse,Electronics,2,29.99,-50.00,completed,2026-08-04T14:45:21+00:00
ORD-006503,2,8,Cotton T-Shirt,Clothing,4,19.99,79.96,unknown_status,2026-08-04T00:08:34+00:00
ORD-006504,10,4,Coffee Maker,Home,4,79.99,319.96,cancelled,not-a-valid-date
ORD-006505,8,4,Coffee Maker,Home,2,79.99,-50.00,completed,2026-08-04T01:20:46+00:00
ORD-006506,10,2,Mechanical Keyboard,Electronics,4,89.99,359.96,refunded,2026-08-04T03:52:54+00:00
ORD-006507,10,1,Wireless Mouse,Electronics,1,29.99,29.99,completed,2026-08-04T10:07:22+00:00
ORD-006508,5,3,USB-C Hub,Electronics,1,49.99,49.99,cancelled,2026-08-04T09:45:33+00:00
ORD-006509,10,2,Mechanical Keyboard,Electronics,3,89.99,269.97,refunded,2026-08-04T12:10:02+00:00
ORD-006510,4,8,Cotton T-Shirt,Clothing,3,19.99,59.97,pending,not-a-valid-date
ORD-006511,7,9,Denim Jeans,Clothing,3,59.99,179.97,cancelled,2026-08-04T20:33:29+00:00
ORD-006512,10,6,Running Shoes,Sports,2,99.99,199.98,completed,2026-08-04T08:19:50+00:00
ORD-006513,4,8,Cotton T-Shirt,Clothing,1,19.99,19.99,cancelled,2026-08-04T07:41:11+00:00
ORD-006514,5,4,Coffee Maker,Home,1,79.99,79.99,pending,2026-08-04T02:01:01+00:00
ORD-006515,4,7,Yoga Mat,Sports,4,24.99,99.96,refunded,2026-08-04T12:40:10+00:00
ORD-006516,8,2,Mechanical Keyboard,Electronics,5,89.99,449.95,pending,2026-08-04T17:23:22+00:00
ORD-006517,10,2,Mechanical Keyboard,Electronics,4,89.99,359.96,cancelled,2026-08-04T07:52:51+00:00
ORD-006518,9,7,Yoga Mat,Sports,2,24.99,49.98,refunded,not-a-valid-date
ORD-006519,6,3,USB-C Hub,Electronics,2,49.99,99.98,refunded,2026-08-04T20:23:40+00:00
ORD-006520,3,6,Running Shoes,Sports,2,99.99,199.98,refunded,2026-08-04T22:38:11+00:00
ORD-006521,2,7,Yoga Mat,Sports,5,24.99,124.95,cancelled,2026-08-04T16:30:06+00:00
ORD-006522,10,2,Mechanical Keyboard,Electronics,2,89.99,-50.00,pending,2026-08-04T09:57:25+00:00
ORD-006523,8,8,Cotton T-Shirt,Clothing,5,19.99,99.95,unknown_status,2026-08-04T14:13:05+00:00
ORD-006524,9,1,Wireless Mouse,Electronics,3,29.99,89.97,completed,2026-08-04T13:14:48+00:00
ORD-006525,8,8,Cotton T-Shirt,Clothing,2,19.99,39.98,pending,2026-08-04T11:37:48+00:00
ORD-006526,3,2,Mechanical Keyboard,Electronics,1,89.99,89.99,cancelled,2026-08-04T14:08:52+00:00
ORD-006527,9,1,Wireless Mouse,Electronics,4,29.99,119.96,pending,2026-08-04T21:23:17+00:00
ORD-006528,5,6,Running Shoes,Sports,3,99.99,-50.00,refunded,2026-08-04T14:18:50+00:00
ORD-006529,8,10,Python Programming Book,Books,5,39.99,199.95,completed,2026-08-04T21:41:54+00:00
ORD-006530,6,2,Mechanical Keyboard,Electronics,3,89.99,269.97,cancelled,2026-08-04T22:52:44+00:00
ORD-006531,10,8,Cotton T-Shirt,Clothing,1,19.99,19.99,pending,2026-08-04T08:24:08+00:00
ORD-006532,2,5,Desk Lamp,Home,2,34.99,69.98,refunded,2026-08-04T17:18:36+00:00
ORD-006533,6,7,Yoga Mat,Sports,5,24.99,124.95,cancelled,2026-08-04T05:29:40+00:00
ORD-006534,1,3,USB-C Hub,Electronics,5,49.99,249.95,cancelled,2026-08-04T23:36:33+00:00
ORD-006535,7,1,Wireless Mouse,Electronics,5,29.99,149.95,completed,2026-08-04T06:19:18+00:00
ORD-006536,2,1,Wireless Mouse,Electronics,1,29.99,29.99,completed,2026-08-04T02:55:12+00:00
ORD-006537,2,2,Mechanical Keyboard,Electronics,3,89.99,269.97,refunded,2026-08-04T15:26:31+00:00
ORD-006538,4,2,Mechanical Keyboard,Electronics,5,89.99,449.95,unknown_status,2026-08-04T16:44:10+00:00
ORD-006539,3,10,Python Programming Book,Books,5,39.99,-50.00,completed,2026-08-04T02:58:54+00:00
ORD-006540,9,1,Wireless Mouse,Electronics,1,29.99,29.99,pending,not-a-valid-date
ORD-006541,7,4,Coffee Maker,Home,5,79.99,399.95,completed,2026-08-04T11:01:48+00:00
ORD-006542,3,9,Denim Jeans,Clothing,4,59.99,239.96,pending,2026-08-04T17:24:21+00:00
ORD-006543,5,4,Coffee Maker,Home,1,79.99,79.99,cancelled,2026-08-04T02:14:02+00:00
ORD-006544,8,9,Denim Jeans,Clothing,1,59.99,59.99,pending,2026-08-04T17:58:42+00:00
ORD-006545,7,7,Yoga Mat,Sports,3,24.99,74.97,completed,2026-08-04T11:32:31+00:00
ORD-006546,2,10,Python Programming Book,Books,2,39.99,79.98,pending,2026-08-04T04:36:13+00:00
ORD-006547,4,3,USB-C Hub,Electronics,1,49.99,49.99,completed,not-a-valid-date
ORD-006548,8,7,Yoga Mat,Sports,3,24.99,74.97,refunded,2026-08-04T04:25:33+00:00
ORD-006549,3,2,Mechanical Keyboard,Electronics,2,89.99,179.98,unknown_status,2026-08-04T01:03:28+00:00
ORD-006550,7,5,Desk Lamp,Home,1,34.99,34.99,pending,2026-08-04T22:51:25+00:00
ORD-006551,6,7,Yoga Mat,Sports,5,24.99,124.95,completed,2026-08-04T06:53:28+00:00
ORD-006552,5,7,Yoga Mat,Sports,4,24.99,99.96,completed,2026-08-04T15:49:16+00:00
ORD-006553,10,4,Coffee Maker,Home,2,79.99,159.98,completed,2026-08-04T08:12:14+00:00
ORD-006554,3,10,Python Programming Book,Books,2,39.99,79.98,cancelled,2026-08-04T23:58:42+00:00
ORD-006555,7,3,USB-C Hub,Electronics,5,49.99,249.95,refunded,2026-08-04T05:25:53+00:00
ORD-006556,10,2,Mechanical Keyboard,Electronics,2,89.99,179.98,unknown_status,2026-08-04T13:51:17+00:00
ORD-006557,10,10,Python Programming Book,Books,3,39.99,119.97,cancelled,2026-08-04T22:01:40+00:00
ORD-006558,3,3,USB-C Hub,Electronics,2,49.99,99.98,refunded,2026-08-04T11:23:48+00:00
ORD-006559,9,5,Desk Lamp,Home,3,34.99,104.97,cancelled,2026-08-04T10:58:09+00:00
ORD-006560,7,4,Coffee Maker,Home,4,79.99,319.96,completed,2026-08-04T19:44:17+00:00
ORD-006561,4,2,Mechanical Keyboard,Electronics,1,89.99,89.99,pending,2026-08-04T11:15:15+00:00
ORD-006562,1,1,Wireless Mouse,Electronics,4,29.99,119.96,completed,2026-08-04T09:22:31+00:00
ORD-006563,8,6,Running Shoes,Sports,5,99.99,499.95,unknown_status,2026-08-04T18:11:34+00:00
ORD-006564,1,6,Running Shoes,Sports,3,99.99,299.97,refunded,2026-08-04T21:37:14+00:00
ORD-006565,8,3,USB-C Hub,Electronics,4,49.99,-50.00,completed,2026-08-04T19:19:12+00:00
ORD-006566,3,6,Running Shoes,Sports,5,99.99,499.95,completed,2026-08-04T03:34:00+00:00
ORD-006567,8,5,Desk Lamp,Home,4,34.99,-50.00,pending,2026-08-04T08:34:11+00:00
ORD-006568,7,7,Yoga Mat,Sports,2,24.99,49.98,completed,2026-08-04T14:26:54+00:00
ORD-006569,6,4,Coffee Maker,Home,2,79.99,159.98,cancelled,2026-08-04T06:55:37+00:00
ORD-006570,3,2,Mechanical Keyboard,Electronics,5,89.99,449.95,cancelled,2026-08-04T00:14:39+00:00
ORD-006571,10,6,Running Shoes,Sports,5,99.99,499.95,unknown_status,2026-08-04T21:27:38+00:00
ORD-006572,4,4,Coffee Maker,Home,4,79.99,319.96,unknown_status,2026-08-04T20:47:54+00:00
ORD-006573,2,10,Python Programming Book,Books,3,39.99,119.97,unknown_status,2026-08-04T12:36:24+00:00
ORD-006574,2,8,Cotton T-Shirt,Clothing,3,19.99,59.97,completed,2026-08-04T03:06:25+00:00
ORD-006575,8,8,Cotton T-Shirt,Clothing,2,19.99,39.98,completed,2026-08-04T14:15:16+00:00
ORD-006576,3,4,Coffee Maker,Home,5,79.99,399.95,cancelled,2026-08-04T15:29:56+00:00
