order_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,status,order_date
ORD-045201,5,3,27in 1440p Monitor,displays,2,319.99,639.98,cancelled,2026-07-23T10:38:21+00:00
ORD-045202,10,2,Wireless Mouse,peripherals,4,49.50,198.00,cancelled,2026-07-23T11:49:31+00:00
ORD-045203,4,1,Mechanical Keyboard 75%,peripherals,3,129.00,387.00,completed,2026-07-23T08:59:35+00:00
ORD-045204,3,6,Desk Speakers Pair,audio,3,89.00,267.00,pending,2026-07-23T07:18:52+00:00
ORD-045205,7,8,Ergonomic Chair,furniture,4,612.75,2451.00,pending,2026-07-23T07:09:01+00:00
ORD-045206,6,9,USB-C Hub 8-in-1,accessories,2,39.99,79.98,completed,2026-07-23T00:00:04+00:00
ORD-045207,3,8,Ergonomic Chair,furniture,4,612.75,2451.00,completed,2026-07-23T10:22:21+00:00
ORD-045208,4,3,27in 1440p Monitor,displays,3,319.99,959.97,completed,2026-07-23T03:25:54+00:00
ORD-045209,10,3,27in 1440p Monitor,displays,4,319.99,1279.96,pending,2026-07-23T05:15:47+00:00
ORD-045210,1,2,Wireless Mouse,peripherals,2,49.50,99.00,refunded,2026-07-23T02:08:54+00:00
ORD-045211,5,4,34in Ultrawide Monitor,displays,3,579.00,1737.00,completed,2026-07-23T09:16:40+00:00
ORD-045212,4,3,27in 1440p Monitor,displays,1,319.99,319.99,completed,2026-07-23T21:18:04+00:00
ORD-045213,9,1,Mechanical Keyboard 75%,peripherals,2,129.00,258.00,cancelled,2026-07-23T13:59:39+00:00
ORD-045214,4,4,34in Ultrawide Monitor,displays,5,579.00,2895.00,pending,2026-07-23T02:51:08+00:00
ORD-045215,5,4,34in Ultrawide Monitor,displays,4,579.00,2316.00,refunded,2026-07-23T15:31:13+00:00
ORD-045216,1,4,34in Ultrawide Monitor,displays,1,579.00,579.00,completed,2026-07-23T14:36:58+00:00
ORD-045217,3,1,Mechanical Keyboard 75%,peripherals,5,129.00,645.00,refunded,2026-07-23T17:31:21+00:00
ORD-045218,8,9,USB-C Hub 8-in-1,accessories,3,39.99,119.97,cancelled,2026-07-23T17:44:32+00:00
ORD-045219,1,7,Standing Desk 120cm,furniture,1,449.00,449.00,pending,2026-07-23T10:12:46+00:00
ORD-045220,1,9,USB-C Hub 8-in-1,accessories,4,39.99,159.96,completed,2026-07-23T04:38:39+00:00
ORD-045221,7,3,27in 1440p Monitor,displays,1,319.99,319.99,cancelled,2026-07-23T09:08:58+00:00
ORD-045222,9,7,Standing Desk 120cm,furniture,1,449.00,449.00,cancelled,2026-07-23T05:22:48+00:00
ORD-045223,6,8,Ergonomic Chair,furniture,2,612.75,1225.50,pending,2026-07-23T07:57:16+00:00
ORD-045224,7,8,Ergonomic Chair,furniture,2,612.75,1225.50,pending,2026-07-23T03:18:54+00:00
ORD-045225,4,9,USB-C Hub 8-in-1,accessories,1,39.99,39.99,completed,2026-07-23T02:11:55+00:00
ORD-045226,3,9,USB-C Hub 8-in-1,accessories,4,39.99,159.96,cancelled,2026-07-23T21:24:45+00:00
ORD-045227,6,9,USB-C Hub 8-in-1,accessories,3,39.99,119.97,cancelled,2026-07-23T12:00:06+00:00
ORD-045228,2,10,Laptop Stand Aluminium,accessories,3,27.50,82.50,refunded,2026-07-23T02:16:46+00:00
ORD-045229,10,3,27in 1440p Monitor,displays,2,319.99,639.98,cancelled,2026-07-23T15:06:29+00:00
ORD-045230,10,10,Laptop Stand Aluminium,accessories,4,27.50,110.00,cancelled,2026-07-23T14:50:23+00:00
ORD-045231,4,4,34in Ultrawide Monitor,displays,2,579.00,1158.00,refunded,2026-07-23T09:04:18+00:00
ORD-045232,7,8,Ergonomic Chair,furniture,3,612.75,1838.25,pending,2026-07-23T08:33:43+00:00
ORD-045233,9,5,Over-ear Headphones,audio,1,199.95,199.95,refunded,2026-07-23T21:26:45+00:00
ORD-045234,4,5,Over-ear Headphones,audio,5,199.95,999.75,completed,2026-07-23T05:25:02+00:00
ORD-045235,1,10,Laptop Stand Aluminium,accessories,4,27.50,110.00,cancelled,2026-07-23T16:14:25+00:00
ORD-045236,8,1,Mechanical Keyboard 75%,peripherals,4,129.00,516.00,completed,2026-07-23T18:44:07+00:00
ORD-045237,10,3,27in 1440p Monitor,displays,4,319.99,1279.96,pending,2026-07-23T12:35:24+00:00
ORD-045238,9,7,Standing Desk 120cm,furniture,1,449.00,449.00,refunded,2026-07-23T22:05:59+00:00
ORD-045239,5,2,Wireless Mouse,peripherals,3,49.50,148.50,completed,2026-07-23T19:30:37+00:00
ORD-045240,2,6,Desk Speakers Pair,audio,5,89.00,445.00,pending,2026-07-23T12:26:31+00:00
ORD-045241,8,4,34in Ultrawide Monitor,displays,3,579.00,1737.00,completed,2026-07-23T08:19:17+00:00
ORD-045242,5,3,27in 1440p Monitor,displays,5,319.99,1599.95,pending,2026-07-23T10:05:13+00:00
ORD-045243,10,7,Standing Desk 120cm,furniture,3,449.00,1347.00,pending,2026-07-23T11:58:41+00:00
ORD-045244,9,2,Wireless Mouse,peripherals,2,49.50,99.00,pending,2026-07-23T02:25:34+00:00
ORD-045245,1,8,Ergonomic Chair,furniture,5,612.75,3063.75,pending,2026-07-23T15:05:28+00:00
ORD-045246,3,9,USB-C Hub 8-in-1,accessories,5,39.99,199.95,pending,2026-07-23T05:30:29+00:00
ORD-045247,5,5,Over-ear Headphones,audio,5,199.95,999.75,cancelled,2026-07-23T23:50:52+00:00
ORD-045248,2,6,Desk Speakers Pair,audio,4,89.00,356.00,cancelled,2026-07-23T21:29:11+00:00
ORD-045249,1,9,USB-C Hub 8-in-1,accessories,1,39.99,39.99,refunded,2026-07-23T19:08:36+00:00
ORD-045250,1,10,Laptop Stand Aluminium,accessories,2,27.50,55.00,refunded,2026-07-23T09:07:02+00:00
ORD-045251,7,5,Over-ear Headphones,audio,4,199.95,799.80,pending,2026-07-23T16:37:56+00:00
ORD-045252,9,4,34in Ultrawide Monitor,displays,3,579.00,1737.00,pending,2026-07-23T04:36:16+00:00
ORD-045253,6,2,Wireless Mouse,peripherals,3,49.50,148.50,completed,2026-07-23T02:04:33+00:00
ORD-045254,9,9,USB-C Hub 8-in-1,accessories,3,39.99,119.97,cancelled,2026-07-23T09:25:55+00:00
ORD-045255,3,3,27in 1440p Monitor,displays,2,319.99,639.98,pending,2026-07-23T00:29:51+00:00
ORD-045256,5,8,Ergonomic Chair,furniture,4,612.75,2451.00,completed,2026-07-23T17:37:09+00:00
ORD-045257,7,9,USB-C Hub 8-in-1,accessories,5,39.99,199.95,completed,2026-07-23T22:33:35+00:00
ORD-045258,2,1,Mechanical Keyboard 75%,peripherals,4,129.00,516.00,pending,2026-07-23T20:50:35+00:00
ORD-045259,9,10,Laptop Stand Aluminium,accessories,2,27.50,55.00,pending,2026-07-23T04:31:29+00:00
ORD-045260,3,5,Over-ear Headphones,audio,2,199.95,399.90,pending,2026-07-23T18:43:37+00:00
ORD-045261,8,6,Desk Speakers Pair,audio,1,89.00,89.00,refunded,2026-07-23T22:34:58+00:00
ORD-045262,9,8,Ergonomic Chair,furniture,5,612.75,3063.75,cancelled,2026-07-23T20:13:44+00:00
ORD-045263,6,4,34in Ultrawide Monitor,displays,4,579.00,2316.00,completed,2026-07-23T13:22:14+00:00
ORD-045264,2,10,Laptop Stand Aluminium,accessories,5,27.50,137.50,completed,2026-07-23T14:56:04+00:00
ORD-045265,10,9,USB-C Hub 8-in-1,accessories,2,39.99,79.98,completed,2026-07-23T15:35:17+00:00
ORD-045266,10,1,Mechanical Keyboard 75%,peripherals,5,129.00,645.00,cancelled,2026-07-23T01:15:43+00:00
ORD-045267,3,10,Laptop Stand Aluminium,accessories,5,27.50,137.50,cancelled,2026-07-23T01:30:07+00:00
ORD-045268,6,10,Laptop Stand Aluminium,accessories,5,27.50,137.50,pending,2026-07-23T19:57:35+00:00
ORD-045269,6,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,completed,2026-07-23T14:16:53+00:00
ORD-045270,6,8,Ergonomic Chair,furniture,3,612.75,1838.25,pending,2026-07-23T16:15:58+00:00
ORD-045271,5,4,34in Ultrawide Monitor,displays,4,579.00,2316.00,completed,2026-07-23T07:08:31+00:00
ORD-045272,5,1,Mechanical Keyboard 75%,peripherals,1,129.00,129.00,cancelled,2026-07-23T13:11:23+00:00
ORD-045273,1,9,USB-C Hub 8-in-1,accessories,4,39.99,159.96,completed,2026-07-23T11:43:02+00:00
ORD-045274,5,7,Standing Desk 120cm,furniture,3,449.00,1347.00,cancelled,2026-07-23T02:08:01+00:00
ORD-045275,6,6,Desk Speakers Pair,audio,4,89.00,356.00,pending,2026-07-23T05:57:30+00:00
ORD-045276,3,7,Standing Desk 120cm,furniture,3,449.00,1347.00,pending,2026-07-23T23:05:03+00:00
ORD-045277,10,1,Mechanical Keyboard 75%,peripherals,1,129.00,129.00,pending,2026-07-23T18:35:09+00:00
ORD-045278,6,5,Over-ear Headphones,audio,3,199.95,599.85,pending,2026-07-23T19:41:31+00:00
ORD-045279,6,9,USB-C Hub 8-in-1,accessories,3,39.99,119.97,pending,2026-07-23T23:23:51+00:00
ORD-045280,4,7,Standing Desk 120cm,furniture,5,449.00,2245.00,cancelled,2026-07-23T21:01:52+00:00
ORD-045281,8,7,Standing Desk 120cm,furniture,5,449.00,2245.00,refunded,2026-07-23T23:05:15+00:00
ORD-045282,7,6,Desk Speakers Pair,audio,2,89.00,178.00,refunded,2026-07-23T04:03:19+00:00
ORD-045283,10,3,27in 1440p Monitor,displays,3,319.99,959.97,cancelled,2026-07-23T13:56:18+00:00
ORD-045284,6,6,Desk Speakers Pair,audio,3,89.00,267.00,completed,2026-07-23T02:28:31+00:00
ORD-045285,10,1,Mechanical Keyboard 75%,peripherals,3,129.00,387.00,completed,2026-07-23T17:09:29+00:00
ORD-045286,10,7,Standing Desk 120cm,furniture,2,449.00,898.00,refunded,2026-07-23T10:25:59+00:00
ORD-045287,1,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,refunded,2026-07-23T09:00:28+00:00
